num,title,discipline,manual_causal,manual_relation_type,ensemble_causal,ensemble_relation,causal_vote_breakdown,relation_vote_breakdown,causal_correct,relation_correct
8.0,"An atlas of amyloid aggregation: the impact of substitutions, insertions, deletions and truncations on amyloid beta fibril nucleation.",Molecular Biology / Genetics,yes,,no,description,no:7 | yes:2,description:6 | measurement/method:1,False,
9.0,"Loss-of-function, gain-of-function and dominant-negative mutations have profoundly different effects on protein structure.",Molecular Biology / Genetics,no,mechanistic/theory,no,description,no:8 | yes:1,description:4 | association:3 | mechanistic/theory:1,True,False
14.0,RAP80 and BRCA1 PARsylation protect chromosome integrity by preventing retention of BRCA1-B/C complexes in DNA repair foci.,Molecular Biology / Genetics,no,association,yes,,yes:9,no votes,False,False
15.0,The NuRD complex cooperates with SALL4 to orchestrate reprogramming.,Molecular Biology / Genetics,no,mechanistic/theory,yes,description,yes:7 | no:2,description:1 | correlation:1,False,False
20.0,Comprehensive 3D epigenomic maps define limbal stem/progenitor cell function and identity.,Molecular Biology / Genetics,yes,mechanistic/theory,no,description,no:7 | yes:2,description:6 | mechanistic/theory:1,False,
22.0,Discovery of widespread transcription initiation at microsatellites predictable by sequence-based deep neural network.,Molecular Biology / Genetics,no,mechanistic/theory,no,description,no:8 | yes:1,description:3 | association:3 | measurement/method:2,True,False
23.0,Quantitative imaging of transcription in living Drosophila embryos reveals the impact of core promoter motifs on promoter state dynamics.,Molecular Biology / Genetics,yes,,no,mechanistic/theory,no:5 | yes:4,mechanistic/theory:3 | description:2,False,
24.0,Molecular indexing enables quantitative targeted RNA sequencing and reveals poor efficiencies in standard library preparations.,Molecular Biology / Genetics,yes,,no,measurement/method,no:7 | yes:2,measurement/method:7,False,
25.0,Implementation of the CRISPR-Cas9 system in fission yeast.,Molecular Biology / Genetics,yes,,no,measurement/method,no:7 | yes:2,measurement/method:7,False,
26.0,Chromatin states shaped by an epigenetic code confer regenerative potential to the mouse liver.,Molecular Biology / Genetics,no,mechanistic/theory,yes,description,yes:6 | no:3,description:2 | mechanistic/theory:1,False,False
27.0,RecA filament maintains structural integrity using ATP-driven internal dynamics.,Molecular Biology / Genetics,no,mechanistic/theory,yes,mechanistic/theory,yes:8 | no:1,mechanistic/theory:1,False,True
28.0,Complementation between polymerase- and exonuclease-deficient mitochondrial DNA polymerase mutants in genomically engineered flies.,Molecular Biology / Genetics,no,measurement/method,yes,mechanistic/theory,yes:7 | no:2,mechanistic/theory:2,False,False
30.0,Transcriptional divergence and conservation of human and mouse erythropoiesis.,Molecular Biology / Genetics,no,mechanistic/theory,no,description,no:8 | yes:1,description:7 | association:1,True,False
32.0,Surface-directed engineering of tissue anisotropy in microphysiological models of musculoskeletal tissue.,Biomedical Engineering,no,measurement/method,yes,,yes:9,no votes,False,False
33.0,Metabolite-induced in vivo fabrication of substrate-free organic bioelectronics.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:8 | no:1,measurement/method:1,False,True
35.0,Concomitant control of mechanical properties and degradation in resorbable elastomer-like materials using stereochemistry and stoichiometry for soft tissue engineering.,Biomedical Engineering,no,measurement/method,yes,,yes:9,no votes,False,False
37.0,Masticatory system-inspired microneedle theranostic platform for intelligent and precise diabetic management.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:6 | no:3,measurement/method:2 | description:1,False,True
38.0,Doping-induced assembly interface for noninvasive in vivo local and systemic immunomodulation.,Biomedical Engineering,no,description,yes,,yes:9,no votes,False,False
43.0,Skin-like biosensor system via electrochemical channels for noninvasive blood glucose monitoring.,Biomedical Engineering,no,mechanistic/theory,no,measurement/method,no:8 | yes:1,measurement/method:4 | correlation:3 | description:1,True,False
44.0,High-strength and fibrous capsule-resistant zwitterionic elastomers.,Biomedical Engineering,no,measurement/method,yes,description,yes:8 | no:1,description:1,False,False
45.0,Bioinspired liquid gating membrane-based catheter with anticoagulation and positionally drug release properties.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:6 | no:3,measurement/method:2 | description:1,False,True
46.0,Artificial neuromuscular fibers by multilayered coaxial integration with dynamic adaption.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:5 | no:4,measurement/method:3 | description:1,False,True
48.0,Soft strain-insensitive bioelectronics featuring brittle materials.,Biomedical Engineering,no,measurement/method,yes,,yes:9,no votes,False,False
49.0,A conducting polymer with enhanced electronic stability applied in cardiac models.,Biomedical Engineering,no,measurement/method,yes,,yes:9,no votes,False,False
50.0,Chiral DOTA chelators as an improved platform for biomedical imaging and therapy applications.,Biomedical Engineering,no,association,yes,,yes:9,no votes,False,False
52.0,Rheotaxis-based separation of sperm with progressive motility using a microfluidic corral system.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:7 | no:2,measurement/method:2,False,True
54.0,Multivascular networks and functional intravascular topologies within biocompatible hydrogels.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:5 | no:4,measurement/method:4,False,True
55.0,Ultrafast self-gelling powder mediates robust wet adhesion to promote healing of gastrointestinal perforations.,Biomedical Engineering,no,description,yes,,yes:9,no votes,False,False
57.0,"Perfusion, cryopreservation, and nanowarming of whole hearts using colloidally stable magnetic cryopreservation agent solutions.",Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:5 | no:4,measurement/method:3 | description:1,False,True
58.0,Three-dimensional printing of complex biological structures by freeform reversible embedding of suspended hydrogels.,Biomedical Engineering,no,mechanistic/theory,no,measurement/method,no:5 | yes:4,measurement/method:4 | description:1,True,False
59.0,Flexible ultrasound-induced retinal stimulating piezo-arrays for biomimetic visual prostheses.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:6 | no:3,measurement/method:2 | description:1,False,True
62.0,Intercalated water layers promote thermal dissipation at bio-nano interfaces.,Biomedical Engineering,no,mechanistic/theory,yes,mechanistic/theory,yes:8 | no:1,mechanistic/theory:1,False,True
63.0,Exfoliated near infrared fluorescent silicate nanosheets for (bio)photonics.,Biomedical Engineering,no,measurement/method,no,description,no:6 | yes:3,description:3 | measurement/method:3,True,False
66.0,Design and synthesis of a small molecular NIR-II chemiluminescence probe for in vivo-activated H<sub>2</sub>S imaging.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:6 | no:3,measurement/method:3,False,True
70.0,Knitting and weaving artificial muscles.,Biomedical Engineering,no,mechanistic/theory,yes,,yes:9,no votes,False,False
72.0,Ferromagnetic soft catheter robots for minimally invasive bioprinting.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:6 | no:3,measurement/method:3,False,True
74.0,Background-suppressed tumor-targeted photoacoustic imaging using bacterial carriers.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:8 | no:1,measurement/method:1,False,True
76.0,Functional vascularized lung grafts for lung bioengineering.,Biomedical Engineering,no,mechanistic/theory,yes,,yes:9,no votes,False,False
78.0,Small near-infrared photochromic protein for photoacoustic multi-contrast imaging and detection of protein interactions in vivo.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:5 | no:4,measurement/method:3 | description:1,False,True
80.0,Intracellular action potential recordings from cardiomyocytes by ultrafast pulsed laser irradiation of fuzzy graphene microelectrodes.,Biomedical Engineering,no,measurement/method,yes,measurement/method,yes:8 | no:1,measurement/method:1,False,True
82.0,Tumor to normal single-cell mRNA comparisons reveal a pan-neuroblastoma cancer cell.,Cancer Biology,no,mechanistic/theory,no,description,no:6 | yes:3,description:6,True,False
96.0,The whole-genome landscape of medulloblastoma subtypes.,Cancer Biology,no,mechanistic/theory,no,description,no:6 | yes:3,description:6,True,False
107.0,USP25 promotes pathological HIF-1-driven metabolic reprogramming and is a potential therapeutic target in pancreatic cancer.,Cancer Biology,no,mechanistic/theory,yes,,yes:9,no votes,False,False
110.0,Chronic centrosome amplification without tumorigenesis.,Cancer Biology,no,mechanistic/theory,yes,mechanistic/theory,yes:6 | no:3,mechanistic/theory:2 | description:1,False,True
111.0,One-shot K-region-selective annulative π-extension for nanographene synthesis and functionalization.,Chemistry,no,measurement/method,no,mechanistic/theory,no:6 | yes:3,mechanistic/theory:3 | measurement/method:2 | description:1,True,False
115.0,Rapid planning and analysis of high-throughput experiment arrays for reaction discovery.,Chemistry,no,description,no,measurement/method,no:6 | yes:3,measurement/method:6,True,False
116.0,Structural and spectroscopic characterization of an einsteinium complex.,Chemistry,no,mechanistic/theory,no,measurement/method,no:9,measurement/method:7 | description:2,True,False
118.0,Coordinating activation strategy for C(sp(3))-H/C(sp(3))-H cross-coupling to access β-aromatic α-amino acids.,Chemistry,no,measurement/method,yes,measurement/method,yes:6 | no:3,measurement/method:3,False,True
120.0,Synthesis of N-acyl sulfenamides via copper catalysis and their use as S-sulfenylating reagents of thiols.,Chemistry,no,measurement/method,yes,measurement/method,yes:5 | no:4,measurement/method:4,False,True
121.0,Metal-free electrochemical dihydroxylation of unactivated alkenes.,Chemistry,no,description,yes,measurement/method,yes:5 | no:4,measurement/method:3 | mechanistic/theory:1,False,False
123.0,Photoswitchable dynamic conjugate addition-elimination reactions as a tool for light-mediated click and clip chemistry.,Chemistry,no,mechanistic/theory,yes,measurement/method,yes:6 | no:3,measurement/method:3,False,False
